#position,scrub_name
316,reserved_loa_field_10
317,reserved_loa_field_11
318,reserved_loa_field_12
319,reserved_loa_field_13
320,reserved_loa_field_14
321,reserved_loa_field_15
322,reserved_loa_field_16
323,reserved_loa_field_17
324,reserved_loa_field_18
325,reserved_loa_field_19
326,reserved_loa_field_20
327,reserved_loa_field_21
328,reserved_loa_field_22
329,reserved_loa_field_23
330,reserved_loa_field_24
331,reserved_loa_field_25
332,udf1_medical
333,udf2_medical
334,udf3_medical
335,udf4_medical
336,udf5_medical
337,udf6_medical
338,udf7_medical
339,udf8_medical
340,udf9_medical
341,udf10_medical
342,udf11_medical
343,udf12_medical
344,udf13_medical
345,udf14_medical
346,udf15_medical
347,udf16
348,udf17
349,udf18
350,udf19
351,udf20
352,udf21
353,udf22
354,udf23
355,udf24
356,udf25
357,udf26
358,udf27
359,udf28
360,udf29
361,udf30
362,udf31_medical
363,udf32_medical
364,udf33_medical
365,udf34_medical
366,udf35_medical
367,udf36_medical
368,udf37_medical
369,udf38_medical
370,udf39_medical
371,udf40_medical
372,udf41_medical
373,udf42_medical
374,udf43_medical
375,udf44_medical
376,udf45_medical
377,udf46_medical
378,udf47_medical
379,udf48_medical
380,udf49_medical
381,udf50_medical
382,dw_vendor_name
383,dw_admrule
384,svc_procedure_grouper
385,Proc1_grouper_desc
386,Proc1_Subgrouper_id
387,svc_procedure_sub_grouper
388,Proc2_grouper_id
389,Proc2_grouper_desc
390,Proc2_Subgrouper_id
391,Proc2_Subgrouper_desc
392,Proc3_grouper_id
393,Proc3_grouper_desc
394,Proc3_Subgrouper_id
395,Proc3_Subgrouper_desc
396,Proc4_grouper_id
397,Proc4_grouper_desc
398,Proc4_Subgrouper_id
399,Proc4_Subgrouper_desc
400,Proc5_grouper_id
401,Proc5_grouper_desc
402,Proc5_Subgrouper_id
403,Proc5_Subgrouper_desc
404,Proc6_grouper_id
405,Proc6_grouper_desc
406,Proc6_Subgrouper_id
407,Proc6_Subgrouper_desc
408,Proc7_grouper_id
409,Proc7_grouper_desc
410,Proc7_Subgrouper_id
411,Proc7_Subgrouper_desc
412,admitting_diag_grouper_id
413,admitting_diag_grouper_desc
414,admitting_diag_supergrouper_id
415,admitting_diag_supergrouper_desc
416,diag1_grouper_id
417,diag1_grouper_desc
418,diag1_supergrouper_id
419,diag1_supergrouper_desc
420,diag2_grouper_id
421,diag2_grouper_desc
422,diag2_supergrouper_id
423,diag2_supergrouper_desc
424,diag3_grouper_id
425,diag3_grouper_desc
426,diag3_supergrouper_id
427,diag3_supergrouper_desc
428,diag4_grouper_id
429,diag4_grouper_desc
430,diag4_supergrouper_id
431,diag4_supergrouper_desc
432,diag5_grouper_id
433,diag5_grouper_desc
434,diag5_supergrouper_id
435,diag5_supergrouper_desc
436,diag6_grouper_id
437,diag6_grouper_desc
438,diag6_supergrouper_id
439,diag6_supergrouper_desc
440,diag7_grouper_id
441,diag7_grouper_desc
442,diag7_supergrouper_id
443,diag7_supergrouper_desc
444,diag8_grouper_id
445,diag8_grouper_desc
446,diag8_supergrouper_id
447,diag8_supergrouper_desc
448,diag9_grouper_id
449,diag9_grouper_desc
450,diag9_supergrouper_id
451,diag9_supergrouper_desc
452,proc1_betos
453,proc1_betos_grouper
454,proc1_betos_sub_grouper
455,proc2_betos
456,proc2_betos_grouper
457,proc2_betos_sub_grouper
458,proc3_betos
459,proc3_betos_grouper
460,proc3_betos_sub_grouper
461,proc4_betos
462,proc4_betos_grouper
463,proc4_betos_sub_grouper
464,proc5_betos
465,proc5_betos_grouper
466,proc5_betos_sub_grouper
467,proc6_betos
468,proc6_betos_grouper
469,proc6_betos_sub_grouper
470,proc7_betos
471,proc7_betos_grouper
472,proc7_betos_sub_grouper
473,udf51_medical
474,udf52_medical
475,udf53_medical
476,udf54_medical
477,udf55_medical
478,udf56_medical
479,udf57_medical
480,udf58_medical
481,udf59_medical
482,udf60_medical
483,udf61_medical
484,udf62_medical
485,udf63_medical
486,udf64_medical
487,udf65_medical
488,udf66_medical
489,udf67_medical
490,udf68_medical
491,udf69_medical
492,udf70_medical
493,udf71_medical
494,udf72_medical
495,udf73_medical
496,udf74_medical
497,udf75_medical
498,udf76_medical
499,udf77_medical
500,udf78_medical
501,udf79_medical
502,udf80_medical
503,udf81_medical
504,udf82_medical
505,udf83_medical
506,udf84_medical
507,udf85_medical
508,udf86_medical
509,udf87_medical
510,udf88_medical
511,udf89_medical
512,udf90_medical
513,udf91_medical
514,udf92_medical
515,udf93_medical
516,udf94_medical
517,udf95_medical
518,udf96_medical
519,udf97_medical
520,udf98_medical
521,udf99_medical
522,udf100_medical
523,udf101_medical
524,udf102_medical
525,udf103_medical
526,udf104_medical
527,udf105_medical
528,udf106_medical
529,udf107_medical
530,udf108_medical
531,udf109_medical
532,udf110_medical
533,udf111_medical
534,udf112_medical
535,udf113_medical
536,udf114_medical
537,udf115_medical
538,udf116
539,udf117
540,udf118
541,udf119
542,udf120
543,udf121
544,udf122
545,udf123
546,udf124
547,udf125
548,udf126
549,udf127
550,udf128
551,udf129
552,udf130
553,udf131_medical
554,udf132_medical
555,udf133_medical
556,udf134_medical
557,udf135_medical
558,udf136_medical
559,udf137_medical
560,udf138_medical
561,udf139_medical
562,udf140_medical
563,udf141_medical
564,udf142_medical
565,udf143_medical
566,udf144_medical
567,udf145_medical
568,udf146_medical
569,udf147_medical
570,udf148_medical
571,udf149_medical
572,udf150_medical
573,udf151
574,udf152
575,udf153
576,udf154
577,udf155
578,udf156
579,udf157
580,udf158
581,udf159
582,udf160
583,udf161
584,udf162
585,udf163
586,udf164
587,udf165
588,udf166
589,udf167
590,udf168
591,udf169
592,udf170
593,udf171
594,udf172
595,udf173
596,udf174
597,udf175
598,udf176
599,udf177
600,udf178
601,udf179
602,udf180
603,udf181
604,udf182
605,udf183
606,udf184
607,udf185
608,udf186
609,udf187
610,udf188
611,udf189
612,udf190
613,udf191
614,udf192
615,udf193
616,udf194
617,udf195
618,udf196
619,udf197
620,udf198
621,udf199
622,udf200
623,udf201
624,udf202
625,udf203
626,udf204
627,udf205
628,udf206
629,udf207
630,udf208
631,udf209
632,udf210
633,udf211
634,udf212
635,udf213
636,udf214
637,udf215
638,udf216
639,udf217
640,udf218
641,udf219
642,udf220
643,udf221
644,udf222
645,udf223
646,udf224
647,udf225
648,udf226
649,udf227
650,udf228
651,udf229
652,udf230
653,udf231
654,udf232
655,udf233
656,udf234
657,udf235
658,udf236
659,udf237
660,udf238
661,udf239
662,udf240
663,udf241
664,udf242
665,udf243
666,udf244
667,udf245
668,udf246
669,udf247
670,udf248
671,udf249
672,udf250
673,dw_rawfilename
674,dw_received_month
675,stage_version
676,client_id
